local_authority_area,2008_cases_total,2013_cases_total,2018_cases_total,2008_pop_total,2013_pop_total,2018_pop_total,2008_cases_male,2013_cases_male,2018_cases_male,2008_pop_male,2013_pop_male,2018_pop_male,2008_cases_female,2013_cases_female,2018_cases_female,2008_pop_female,2013_pop_female,2018_pop_female,total_budget,clean_air,clean_environ,health_training,school_awareness,media_awareness,sub_counselling,region,local_authority_type,,2008_proportion,2013_proportion,2018_proportion,if_increase
Surrey,1720,1712,1886,1108301,1097895,1201060,583,596,614,551491,556618,588827,1137,1116,1272,556810,541277,612233,1010000,219000,254000,49000,340000,103000,45000,South East,non_metropolitan_county,,0.001551925,0.001559348,0.00157028,1
Sutton,298,398,440,190809,204374,202811,114,152,158,92428,93455,93749,184,246,282,98381,110919,109062,160000,54000,15000,18000,45000,14000,14000,London,london_borough,,0.001561771,0.00194741,0.002169508,1
Swindon,612,701,732,197354,215037,223384,202,205,231,98263,100030,107465,410,496,501,99091,115007,115919,150000,48000,26000,19000,28000,18000,11000,South West,unitary_authority,,0.003101027,0.003259904,0.003276869,1
Tameside,556,614,742,215881,224197,231133,238,295,310,107314,112174,112053,318,319,432,108567,112023,119080,171000,11000,41000,29000,43000,34000,13000,North West,metropolitan_borough,,0.002575493,0.002738663,0.003210273,1
Telford and Wrekin,768,849,862,162817,170918,178603,245,256,279,79520,81789,85994,523,593,583,83297,89129,92609,110000,14000,4000,9000,49000,26000,8000,West Midlands,unitary_authority,,0.004716952,0.004967294,0.004826347,1
Thurrock,250,276,281,156272,158715,161657,108,116,122,77620,77699,76297,142,160,159,78652,81016,85360,120000,21000,36000,31000,18000,11000,3000,East of England,unitary_authority,,0.001599775,0.001738966,0.001738248,1
Torbay,615,622,633,134925,136936,141873,169,173,200,65236,69610,75083,446,449,433,69689,67326,66790,121000,32000,32000,15000,16000,16000,10000,South West,unitary_authority,,0.004558088,0.004542268,0.004461737,1
Tower Hamlets,569,505,605,228366,193835,187282,191,159,199,110483,92800,89013,378,346,406,117883,101035,98269,210000,36000,70000,21000,44000,21000,18000,London,london_borough,,0.002491614,0.002605309,0.003230423,1
Trafford,735,835,889,215176,227792,234552,276,305,345,104941,109459,111356,459,530,544,110235,118333,123196,150000,22000,29000,13000,40000,33000,13000,North West,metropolitan_borough,,0.003415808,0.003665625,0.003790204,1
Wakefield,1729,1840,2067,325029,341459,358377,495,554,597,158029,177445,175756,1234,1286,1470,167000,164014,182621,240000,19000,105000,18000,56000,15000,27000,Yorkshire and the Humber,metropolitan_borough,,0.005319525,0.005388641,0.005767669,1
Walsall,1184,1198,1423,256862,260958,283346,370,384,417,125683,123757,133996,814,814,1006,131179,137201,149350,201000,42000,48000,11000,48000,28000,24000,West Midlands,metropolitan_borough,,0.004609479,0.004590777,0.005022128,1
Waltham Forest,450,531,618,222929,230489,240449,168,174,213,108968,104704,106795,282,357,405,113961,125785,133654,180000,39000,32000,12000,55000,26000,16000,London,london_borough,,0.00201858,0.002303798,0.002570192,1
Wandsworth,521,475,538,285659,248591,231351,221,198,180,137259,113940,95213,300,277,358,148400,134651,136138,200000,43000,30000,17000,59000,32000,19000,London,london_borough,,0.001823853,0.001910769,0.002325471,1
Warrington,450,466,577,197555,201921,219312,205,214,282,97395,98351,106859,245,252,295,100160,103570,112453,180000,44000,10000,19000,52000,34000,21000,North West,unitary_authority,,0.002277847,0.002307833,0.002630955,1
Warwickshire,2553,2738,2932,536882,559262,598628,872,1001,1035,258777,286328,296972,1681,1737,1897,278105,272934,301656,440000,85000,149000,53000,64000,48000,41000,West Midlands,non_metropolitan_county,,0.004755235,0.004895738,0.004897866,1
West Berkshire,156,172,184,152446,151445,166368,59,55,62,73982,73305,82728,97,117,122,78464,78140,83640,141000,6000,37000,21000,45000,16000,16000,South East,unitary_authority,,0.001023313,0.001135726,0.001105982,1
West Sussex,2360,2491,2757,794046,848562,903816,824,907,969,384001,421850,448651,1536,1584,1788,410045,426712,455165,700000,175000,227000,63000,69000,95000,71000,South East,non_metropolitan_county,,0.00297212,0.002935555,0.0030504,1
Westminster,514,548,619,248303,239309,223971,212,212,251,122587,114633,103658,302,336,368,125716,124676,120313,200000,16000,86000,24000,36000,17000,21000,London,london_borough,,0.002070052,0.002289926,0.002763751,1
Wigan,2017,2251,2415,307509,342059,339861,844,938,978,151479,167770,167003,1173,1313,1437,156030,174289,172858,260000,75000,64000,26000,49000,31000,15000,North West,metropolitan_borough,,0.006559158,0.006580736,0.007105846,1
Wiltshire,1372,1474,1516,457236,493515,522318,472,520,521,226835,248809,264246,900,954,995,230401,244706,258072,380000,11000,158000,11000,125000,29000,46000,South West,unitary_authority,,0.003000639,0.002986738,0.002902446,1
Windsor and Maidenhead,455,485,527,142679,144674,152610,191,191,195,70469,70403,73984,264,294,332,72210,74271,78626,110000,33000,37000,13000,11000,12000,4000,South East,unitary_authority,,0.003188977,0.003352365,0.003453247,1
Wirral,2560,2652,2987,310630,312142,342200,965,1044,1103,153296,152969,167467,1595,1608,1884,157334,159173,174733,209000,69000,47000,30000,41000,14000,8000,North West,metropolitan_borough,,0.008241316,0.008496133,0.008728814,1
Wokingham,119,146,169,160803,165785,166687,50,70,67,78263,85007,80477,69,76,102,82540,80778,86210,109000,20000,41000,13000,19000,10000,6000,South East,unitary_authority,,0.000740036,0.000880659,0.001013876,1
Wolverhampton,1442,1571,1728,239744,252117,264037,416,433,492,116300,116700,123433,1026,1138,1236,123444,135417,140604,201000,18000,27000,23000,55000,50000,28000,West Midlands,metropolitan_borough,,0.006014749,0.006231234,0.006544537,1
Worcestershire,2718,3061,3237,559135,605974,636832,978,1068,1204,271013,289438,318871,1740,1993,2033,288122,316536,317961,470000,128000,112000,57000,76000,67000,30000,West Midlands,non_metropolitan_county,,0.00486108,0.005051372,0.005082973,1
York,1170,1266,1414,196246,202851,212083,450,463,518,96239,94507,97416,720,803,896,100007,108344,114667,140000,5000,39000,8000,32000,37000,19000,Yorkshire and the Humber,unitary_authority,,0.005961905,0.006241034,0.006667201,1
